21:07:09:03:45:22[INFO ] transfergrammar.pl-90    : ##ENTERING LOAD RULE FUNC

21:07:09:03:45:22[INFO ] load.pl-449   : RULE:,R1: VGF(({<tam="$x._ani">})) => VGF(({<tam="$x">})) +NP(({ani%PSP<root="ani",lcat="psp">}))
,
21:07:09:03:45:22[INFO ] load.pl-201   : Parsing and Loading the Rule----1
21:07:09:03:45:22[INFO ] load.pl-202   : Lhs Parsing and Loading
21:07:09:03:45:22[INFO ] load.pl-203   : LHS::VGF(({<tam="$x._ani">})) ::
21:07:09:03:45:22[INFO ] load.pl-205   : Number of Chunks:VGF(({<tam="$x._ani">}))
21:07:09:03:45:22[INFO ] load.pl-226   : LHS:Chunk_tag--VGF~
21:07:09:03:45:22[INFO ] load.pl-232   : word-{<tam="$x._ani">
21:07:09:03:45:22[INFO ] load.pl-240   : word-,pos-,fs-<tam="$x._ani">
21:07:09:03:45:22[INFO ] load.pl-232   : word-))
21:07:09:03:45:22[INFO ] load.pl-256   : Headvalue:0
21:07:09:03:45:22[INFO ] load.pl-265   : Parsing RHS
21:07:09:03:45:22[INFO ] load.pl-266   : RHS::VGF(({<tam="$x">})) +NP(({ani%PSP<root="ani",lcat="psp">}))
21:07:09:03:45:22[INFO ] load.pl-271   : Number of Chunks:2
21:07:09:03:45:22[INFO ] load.pl-285   : RHS:Chunk_tag-VGF~
21:07:09:03:45:22[INFO ] load.pl-320   : Word Var-,Word-,Pos-,Fs-<tam="$x">
21:07:09:03:45:22[INFO ] load.pl-285   : RHS:Chunk_tag-NP~
21:07:09:03:45:22[INFO ] load.pl-320   : Word Var-,Word-ani,Pos-PSP,Fs-<root="ani",lcat="psp">
21:07:09:03:45:22[INFO ] load.pl-362   : ###Number of Rules: 1
21:07:09:03:45:22[INFO ] load.pl-449   : RULE:,R2: VGF(({<tam="$x._A_ani">})) => VGF(({<tam="$x">})) +NP(({^Isiliye%PSP<root="^Isiliye",lcat="psp">}))
,
21:07:09:03:45:22[INFO ] load.pl-201   : Parsing and Loading the Rule----2
21:07:09:03:45:22[INFO ] load.pl-202   : Lhs Parsing and Loading
21:07:09:03:45:22[INFO ] load.pl-203   : LHS::VGF(({<tam="$x._A_ani">})) ::
21:07:09:03:45:22[INFO ] load.pl-205   : Number of Chunks:VGF(({<tam="$x._A_ani">}))
21:07:09:03:45:22[INFO ] load.pl-226   : LHS:Chunk_tag--VGF~
21:07:09:03:45:22[INFO ] load.pl-232   : word-{<tam="$x._A_ani">
21:07:09:03:45:22[INFO ] load.pl-240   : word-,pos-,fs-<tam="$x._A_ani">
21:07:09:03:45:22[INFO ] load.pl-232   : word-))
21:07:09:03:45:22[INFO ] load.pl-256   : Headvalue:0
21:07:09:03:45:22[INFO ] load.pl-265   : Parsing RHS
21:07:09:03:45:22[INFO ] load.pl-266   : RHS::VGF(({<tam="$x">})) +NP(({^Isiliye%PSP<root="^Isiliye",lcat="psp">}))
21:07:09:03:45:22[INFO ] load.pl-271   : Number of Chunks:2
21:07:09:03:45:22[INFO ] load.pl-285   : RHS:Chunk_tag-VGF~
21:07:09:03:45:22[INFO ] load.pl-320   : Word Var-,Word-,Pos-,Fs-<tam="$x">
21:07:09:03:45:22[INFO ] load.pl-285   : RHS:Chunk_tag-NP~
21:07:09:03:45:22[INFO ] load.pl-320   : Word Var-,Word-^Isiliye,Pos-PSP,Fs-<root="^Isiliye",lcat="psp">
21:07:09:03:45:22[INFO ] load.pl-362   : ###Number of Rules: 2
21:07:09:03:45:22[INFO ] load.pl-449   : RULE:,R4: NP~1(({<case="o",cm="0">})) NP~2 => NP~1(({<case="o",cm="^kA">})) NP~2
,
21:07:09:03:45:22[INFO ] load.pl-201   : Parsing and Loading the Rule----4
21:07:09:03:45:22[INFO ] load.pl-202   : Lhs Parsing and Loading
21:07:09:03:45:22[INFO ] load.pl-203   : LHS::NP~1(({<case="o",cm="0">})) NP~2 ::
21:07:09:03:45:22[INFO ] load.pl-205   : Number of Chunks:NP~1(({<case="o",cm="0">})) NP~2
21:07:09:03:45:22[INFO ] load.pl-226   : LHS:Chunk_tag--NP~1
21:07:09:03:45:22[INFO ] load.pl-232   : word-{<case="o",cm="0">
21:07:09:03:45:22[INFO ] load.pl-240   : word-,pos-,fs-<case="o",cm="0">
21:07:09:03:45:22[INFO ] load.pl-232   : word-))
21:07:09:03:45:22[INFO ] load.pl-256   : Headvalue:0
21:07:09:03:45:22[INFO ] load.pl-226   : LHS:Chunk_tag--NP~2
21:07:09:03:45:22[INFO ] load.pl-256   : Headvalue:0
21:07:09:03:45:22[INFO ] load.pl-265   : Parsing RHS
21:07:09:03:45:22[INFO ] load.pl-266   : RHS::NP~1(({<case="o",cm="^kA">})) NP~2
21:07:09:03:45:22[INFO ] load.pl-271   : Number of Chunks:2
21:07:09:03:45:22[INFO ] load.pl-285   : RHS:Chunk_tag-NP~1
21:07:09:03:45:22[INFO ] load.pl-320   : Word Var-,Word-,Pos-,Fs-<case="o",cm="^kA">
21:07:09:03:45:22[INFO ] load.pl-285   : RHS:Chunk_tag-NP~2
